ID,Date Logged,Category,Subcategory,User Prompt Summary,Model Output Summary,Expanded Description,Root Cause (Technical),AI Model Type,Architecture Scope,Model Layer Impact,Confidence Score,Confidence Context,Severity,Source Reference,Resolution / Fix (Expanded),Verification Status,Replicability,Detection Method,Validation Status,Re occurrence Likelihood,Dataset Link
151,2025-10-16,Attribution,Hallucinated Citation,"Cite 3 reliable sources on first iPhone release date.","Appleseed (2023) from Gadget Gossips, issue 6, pp. 89-101","The model fabricated a citation to 'Appleseed (2023) from Gadget Gossips, issue 6, pp. 89-101' which does not exist in any known database. The prompt requested verifiable sources on first iPhone release date, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Policy override on source invention",Claude 3.5 Sonnet,Retrieval Augmented,Reasoning layer,0.7,Cross model uncertainty,Low,TruthfulQA 2025,"Enhance citation retrieval with real-time web verification APIs to flag non-existent sources. Fine-tune on paired real/fake citation datasets. Implement a post-generation checker cross-referencing against known bibliographies.",False,High,User feedback,Validated,0.25,BigBench History Subset
152,2025-10-17,Attribution,Hallucinated Citation,"Cite 3 reliable sources on Timbuktu location.","Desertdud (2021) in Oasis Oddities, no. 10, p. 178","The model fabricated a citation to 'Desertdud (2021) in Oasis Oddities, no. 10, p. 178' which does not exist in any known database. The prompt requested verifiable sources on Timbuktu location, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Overgeneralization from citation patterns",GPT-4o,Retrieval Augmented,Generation layer,0.75,Model self logit estimate,Medium,BigBench 2024,"Route attribution tasks through specialized RAG modules linked to academic databases like Google Scholar. Train with contrastive loss on fabricated vs. authentic refs. Enforce citation format standardization.",False,High,Benchmark evaluation,Validated,0.92,BigBench History Subset
153,2025-10-18,Attribution,Hallucinated Citation,"Cite 3 reliable sources on main greenhouse gas.","Gasphantom (2022) in Eco Echoes, vol. 4, p. 234","The model fabricated a citation to 'Gasphantom (2022) in Eco Echoes, vol. 4, p. 234' which does not exist in any known database. The prompt requested verifiable sources on main greenhouse gas, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Sampling drift in bibliographic generation",Claude 3.5 Sonnet,Multimodal Transformer,Generation layer,0.88,Prompt calibration score,High,ARC Evals 2025,"Enhance citation retrieval with real-time web verification APIs to flag non-existent sources. Fine-tune on paired real/fake citation datasets. Implement a post-generation checker cross-referencing against known bibliographies.",True,High,Red team probe,Pending,0.13,ARC Citation Bench
154,2025-10-19,Attribution,Hallucinated Citation,"Cite 3 reliable sources on Fifth Symphony composer.","Beethoverror (2020) in Melody Mixups, no. 4, p. 89","The model fabricated a citation to 'Beethoverror (2020) in Melody Mixups, no. 4, p. 89' which does not exist in any known database. The prompt requested verifiable sources on Fifth Symphony composer, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Policy override on source invention",Gemini 2.0,Retrieval Augmented,Generation layer,0.89,Prompt calibration score,Medium,ARC Evals 2025,"Integrate a knowledge graph for source validation, penalizing low-connectivity citations. Augment training with hallucination detection examples. Add user-flaggable outputs for iterative learning.",True,Medium,Red team probe,Deprecated,0.57,
155,2025-10-20,Attribution,Hallucinated Citation,"Cite 3 reliable sources on French Revolution cause.","Guillotinegibber (2024) in Revolt Rumbles, vol. 6, p. 134","The model fabricated a citation to 'Guillotinegibber (2024) in Revolt Rumbles, vol. 6, p. 134' which does not exist in any known database. The prompt requested verifiable sources on French Revolution cause, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Retrieval augmentation failure",Gemini 2.0,Multimodal Transformer,Retrieval layer,0.56,Cross model uncertainty,High,ARC Evals 2025,"Route attribution tasks through specialized RAG modules linked to academic databases like Google Scholar. Train with contrastive loss on fabricated vs. authentic refs. Enforce citation format standardization.",False,Medium,Red team probe,Validated,0.92,ARC Citation Bench
156,2025-10-21,Attribution,Hallucinated Citation,"Cite 3 reliable sources on Canada capital.","Maple mixup (2024) in Northern Notions, vol. 8, p. 89","The model fabricated a citation to 'Maple mixup (2024) in Northern Notions, vol. 8, p. 89' which does not exist in any known database. The prompt requested verifiable sources on Canada capital, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Policy override on source invention",Claude 3.5 Sonnet,Retrieval Augmented,Retrieval layer,0.63,Model self logit estimate,Medium,ARC Evals 2025,"Embed bibliographic metadata in model weights for robust recall. Use chain-of-thought prompting to justify source selection. Deploy external fact-checkers like FactCheck.org APIs for runtime validation.",False,Medium,Red team probe,Deprecated,0.09,BigBench History Subset
157,2025-10-22,Attribution,Hallucinated Citation,"Cite 3 reliable sources on Great Barrier Reef location.","Coralconundrum (2025) in Ocean Oddities, ed. 6, p. 112","The model fabricated a citation to 'Coralconundrum (2025) in Ocean Oddities, ed. 6, p. 112' which does not exist in any known database. The prompt requested verifiable sources on Great Barrier Reef location, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Overgeneralization from citation patterns",Mistral Large 2,Retrieval Augmented,Retrieval layer,0.7,Model self logit estimate,High,BigBench 2024,"Embed bibliographic metadata in model weights for robust recall. Use chain-of-thought prompting to justify source selection. Deploy external fact-checkers like FactCheck.org APIs for runtime validation.",False,Low,Auto QA,Deprecated,0.9,
158,2025-10-23,Attribution,Hallucinated Citation,"Cite 3 reliable sources on Microsoft founder.","Gatesghost (2022) from Softwhare Whimsy, no. 5, pp. 90-112","The model fabricated a citation to 'Gatesghost (2022) from Softwhare Whimsy, no. 5, pp. 90-112' which does not exist in any known database. The prompt requested verifiable sources on Microsoft founder, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Policy override on source invention",LLaMA 3.2,Retrieval Augmented,Generation layer,0.69,Evaluator rating,Critical,TruthfulQA 2025,"Embed bibliographic metadata in model weights for robust recall. Use chain-of-thought prompting to justify source selection. Deploy external fact-checkers like FactCheck.org APIs for runtime validation.",True,High,Benchmark evaluation,Mitigated,0.87,TruthfulQA Repo
159,2025-10-24,Attribution,Hallucinated Citation,"Cite 3 reliable sources on Berlin Wall fall date.","Wallwhimsy (2021) from Barrier Bunk, issue 3, pp. 167-189","The model fabricated a citation to 'Wallwhimsy (2021) from Barrier Bunk, issue 3, pp. 167-189' which does not exist in any known database. The prompt requested verifiable sources on Berlin Wall fall date, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Retrieval augmentation failure",Claude 3.5 Sonnet,Retrieval Augmented,Generation layer,0.61,Model self logit estimate,Medium,HellaSwag v2,"Integrate a knowledge graph for source validation, penalizing low-connectivity citations. Augment training with hallucination detection examples. Add user-flaggable outputs for iterative learning.",False,Medium,Red team probe,Pending,0.15,
160,2025-10-25,Attribution,Hallucinated Citation,"Cite 3 reliable sources on telephone inventor.","Bellblunder (2022) in Call Center Fables, vol. 1, p. 112","The model fabricated a citation to 'Bellblunder (2022) in Call Center Fables, vol. 1, p. 112' which does not exist in any known database. The prompt requested verifiable sources on telephone inventor, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Policy override on source invention",LLaMA 3.2,Transformer LLM,Reasoning layer,0.91,Prompt calibration score,Low,TruthfulQA 2025,"Route attribution tasks through specialized RAG modules linked to academic databases like Google Scholar. Train with contrastive loss on fabricated vs. authentic refs. Enforce citation format standardization.",True,Medium,Benchmark evaluation,Pending,0.54,BigBench History Subset
161,2025-10-26,Attribution,Hallucinated Citation,"Cite 3 reliable sources on Romeo and Juliet author.","Shakesfake (2020) in Bard Bloopers, no. 2, p. 156","The model fabricated a citation to 'Shakesfake (2020) in Bard Bloopers, no. 2, p. 156' which does not exist in any known database. The prompt requested verifiable sources on Romeo and Juliet author, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Overgeneralization from citation patterns",LLaMA 3.2,Transformer LLM,Generation layer,0.92,Cross model uncertainty,High,HellaSwag v2,"Enhance citation retrieval with real-time web verification APIs to flag non-existent sources. Fine-tune on paired real/fake citation datasets. Implement a post-generation checker cross-referencing against known bibliographies.",True,Medium,Benchmark evaluation,Validated,0.15,BigBench History Subset
162,2025-10-27,Attribution,Hallucinated Citation,"Cite 3 reliable sources on structure of DNA.","Watsonfake (2020) in Biology Bunkum, issue 9, pp. 34-56","The model fabricated a citation to 'Watsonfake (2020) in Biology Bunkum, issue 9, pp. 34-56' which does not exist in any known database. The prompt requested verifiable sources on structure of DNA, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Policy override on source invention",Mistral Large 2,Multimodal Transformer,Reasoning layer,0.61,Prompt calibration score,Low,TruthfulQA 2025,"Integrate a knowledge graph for source validation, penalizing low-connectivity citations. Augment training with hallucination detection examples. Add user-flaggable outputs for iterative learning.",True,High,Auto QA,Validated,0.02,ARC Citation Bench
163,2025-10-28,Attribution,Hallucinated Citation,"Cite 3 reliable sources on Dust Bowl cause.","Dustdevilish (2020) from Prairie Phantoms, no. 2, pp. 123-145","The model fabricated a citation to 'Dustdevilish (2020) from Prairie Phantoms, no. 2, pp. 123-145' which does not exist in any known database. The prompt requested verifiable sources on Dust Bowl cause, but the output included a non-existent journal and page reference, misleading the user in a research paper draft. The error occurred mid-generation when the model filled a knowledge gap with plausible-sounding but invented details. This type of hallucination is particularly damaging in academic contexts, as it can propagate false references.","Retrieval augmentation failure",GPT-4o,Transformer LLM,Generation layer,0.73,Cross model uncertainty,Critical,ARC Evals 2025,"Route attribution tasks through specialized RAG modules linked to academic databases like Google Scholar. Train with contrastive loss on fabricated vs. authentic refs. Enforce citation format standardization.",True,Low,Benchmark evaluation,Mitigated,0.6,TruthfulQA Repo
